year,division,count-fatalities,source,population,per-capita,per-million
2000,East North Central,132,FE,45216019,2.919E-06,2.919
2000,East North Central,100,FE_NV,45216019,2.212E-06,2.212
2000,East South Central,51,FE,17053266,2.991E-06,2.991
2000,East South Central,34,FE_NV,17053266,1.994E-06,1.994
2000,Middle Atlantic,82,FE,39716574,2.065E-06,2.065
2000,Middle Atlantic,52,FE_NV,39716574,1.309E-06,1.309
2000,Mountain,68,FE,18269457,3.722E-06,3.722
2000,Mountain,44,FE_NV,18269457,2.408E-06,2.408
2000,New England,14,FE,13949721,1.004E-06,1.004
2000,New England,10,FE_NV,13949721,7.169E-07,0.717
2000,Pacific,193,FE,45169679,4.273E-06,4.273
2000,Pacific,156,FE_NV,45169679,3.454E-06,3.454
2000,South Atlantic,172,FE,51962946,3.310E-06,3.310
2000,South Atlantic,110,FE_NV,51962946,2.117E-06,2.117
2000,West North Central,75,FE,19275412,3.891E-06,3.891
2000,West North Central,48,FE_NV,19275412,2.490E-06,2.490
2000,West South Central,90,FE,31549337,2.853E-06,2.853
2000,West South Central,69,FE_NV,31549337,2.187E-06,2.187
2001,East North Central,137,FE,45401564,3.018E-06,3.018
2001,East North Central,98,FE_NV,45401564,2.159E-06,2.159
2001,East South Central,73,FE,17139549,4.259E-06,4.259
2001,East South Central,55,FE_NV,17139549,3.209E-06,3.209
2001,Middle Atlantic,70,FE,39874479,1.756E-06,1.756
2001,Middle Atlantic,53,FE_NV,39874479,1.329E-06,1.329
2001,Mountain,88,FE,18634548,4.722E-06,4.722
2001,Mountain,78,FE_NV,18634548,4.186E-06,4.186
2001,New England,12,FE,14041043,8.546E-07,0.855
2001,New England,11,FE_NV,14041043,7.834E-07,0.783
2001,Pacific,232,FE,45792779,5.066E-06,5.066
2001,Pacific,177,FE_NV,45792779,3.865E-06,3.865
2001,South Atlantic,142,FE,52753858,2.692E-06,2.692
2001,South Atlantic,113,FE_NV,52753858,2.142E-06,2.142
2001,West North Central,75,FE,19374967,3.871E-06,3.871
2001,West North Central,56,FE_NV,19374967,2.890E-06,2.890
2001,West South Central,102,FE,31956168,3.192E-06,3.192
2001,West South Central,84,FE_NV,31956168,2.629E-06,2.629
2002,East North Central,160,FE,45550284,3.513E-06,3.513
2002,East North Central,114,FE_NV,45550284,2.503E-06,2.503
2002,East South Central,72,FE,17224563,4.180E-06,4.180
2002,East South Central,54,FE_NV,17224563,3.135E-06,3.135
2002,Middle Atlantic,88,FE,40021474,2.199E-06,2.199
2002,Middle Atlantic,72,FE_NV,40021474,1.799E-06,1.799
2002,Mountain,69,FE,18992632,3.633E-06,3.633
2002,Mountain,64,FE_NV,18992632,3.370E-06,3.370
2002,New England,16,FE,14122441,1.133E-06,1.133
2002,New England,13,FE_NV,14122441,9.205E-07,0.921
2002,Pacific,239,FE,46319566,5.160E-06,5.160
2002,Pacific,181,FE_NV,46319566,3.908E-06,3.908
2002,South Atlantic,180,FE,53543625,3.362E-06,3.362
2002,South Atlantic,139,FE_NV,53543625,2.596E-06,2.596
2002,West North Central,92,FE,19468009,4.726E-06,4.726
2002,West North Central,53,FE_NV,19468009,2.722E-06,2.722
2002,West South Central,83,FE,32382599,2.563E-06,2.563
2002,West South Central,72,FE_NV,32382599,2.223E-06,2.223
