year,postal-code,state,division,count-fatalities,source,population,per-capita,per-million
2000,AK,Alaska,Pacific,4,FE,627963,6.3698E-06,6.3698
2000,AK,Alaska,Pacific,4,FE_NV,627963,6.3698E-06,6.3698
2001,AK,Alaska,Pacific,6,FE,633714,9.4680E-06,9.4680
2001,AK,Alaska,Pacific,2,FE_NV,633714,3.1560E-06,3.1560
2002,AK,Alaska,Pacific,9,FE,642337,1.4011E-05,14.0113
2002,AK,Alaska,Pacific,4,FE_NV,642337,6.2273E-06,6.2273
2003,AK,Alaska,Pacific,3,FE,648414,4.6267E-06,4.6267
2003,AK,Alaska,Pacific,3,FE_NV,648414,4.6267E-06,4.6267
2004,AK,Alaska,Pacific,3,FE,659286,4.5504E-06,4.5504
2004,AK,Alaska,Pacific,3,FE_NV,659286,4.5504E-06,4.5504
2005,AK,Alaska,Pacific,1,FE,666946,1.4994E-06,1.4994
2005,AK,Alaska,Pacific,1,FE_NV,666946,1.4994E-06,1.4994
2006,AK,Alaska,Pacific,3,FE,675302,4.4425E-06,4.4425
2006,AK,Alaska,Pacific,2,FE_NV,675302,2.9616E-06,2.9616
2007,AK,Alaska,Pacific,3,FE,680300,4.4098E-06,4.4098
2007,AK,Alaska,Pacific,3,FE_NV,680300,4.4098E-06,4.4098
2008,AK,Alaska,Pacific,8,FE,687455,1.1637E-05,11.6371
2008,AK,Alaska,Pacific,8,FE_NV,687455,1.1637E-05,11.6371
2009,AK,Alaska,Pacific,3,FE,698895,4.2925E-06,4.2925
2009,AK,Alaska,Pacific,3,FE_NV,698895,4.2925E-06,4.2925
2010,AK,Alaska,Pacific,6,FE,713982,8.4036E-06,8.4036
2010,AK,Alaska,Pacific,6,FE_NV,713982,8.4036E-06,8.4036
2011,AK,Alaska,Pacific,2,FE,722349,2.7687E-06,2.7687
2011,AK,Alaska,Pacific,2,FE_NV,722349,2.7687E-06,2.7687
2012,AK,Alaska,Pacific,7,FE,730810,9.5784E-06,9.5784
2012,AK,Alaska,Pacific,7,FE_NV,730810,9.5784E-06,9.5784
2013,AK,Alaska,Pacific,4,MPV,737626,5.4228E-06,5.4228
2013,AK,Alaska,Pacific,4,FE,737626,5.4228E-06,5.4228
2013,AK,Alaska,Pacific,4,FE_NV,737626,5.4228E-06,5.4228
2014,AK,Alaska,Pacific,2,MPV,737075,2.7134E-06,2.7134
